NAME	LOCATION	STATUS	LATX	LONGX	TYPE
Kolokol Group	Kuril Is	Historical	46.04166667	150.05	Somma volcanoes
Unnamed	Kuril Is	Uncertain	46.1	150.5	Submarine volcano?
Chirpoi	Kuril Is	Historical	46.525	150.875	Caldera
Unnamed	Kuril Is	Hydrophonic	46.46666667	151.2833333	Submarine volcano
Milne	Kuril Is	Holocene	46.81666667	151.7833333	Somma volcano
Goriaschaia Sopka	Kuril Is	Historical	46.83333333	151.75	Stratovolcano
Zavaritzki Caldera	Kuril Is	Historical	46.925	151.95	Caldera
Urataman	Kuril Is	Holocene	47.11666667	152.25	Somma volcano
Prevo Peak	Kuril Is	Historical	47.01666667	152.1166667	Stratovolcano
Ketoi	Kuril Is	Historical	47.35	152.475	Stratovolcano
Srednii	Kuril Is	Holocene	47.6	152.9166667	Submarine volcano
Ushishur	Kuril Is	Historical	47.51666667	152.8	Caldera
Rasshua	Kuril Is	Historical	47.76666667	153.0166667	Stratovolcano
Unnamed	Kuril Is	Historical	48.08333333	153.3333333	Submarine volcano
Sarychev Peak	Kuril Is	Historical	48.09166667	153.2	Stratovolcano
Raikoke	Kuril Is	Historical	48.29166667	153.25	Stratovolcano
Chirinkotan	Kuril Is	Historical	48.98333333	153.4833333	Stratovolcano
Ekarma	Kuril Is	Historical	48.95833333	153.9333333	Stratovolcano
Sinarka	Kuril Is	Historical	48.875	154.175	Stratovolcano
Kharimkotan	Kuril Is	Historical	49.11666667	154.5083333	Stratovolcano
Tao-Rusyr Caldera	Kuril Is	Historical	49.35	154.7	Stratovolcano
Nemo Peak	Kuril Is	Historical	49.56666667	154.8083333	Caldera
Shirinki	Kuril Is	Holocene	50.2	154.9833333	Stratovolcano
Fuss Peak	Kuril Is	Historical	50.26666667	155.25	Stratovolcano
Lomonosov Group	Kuril Is	Holocene	50.25	155.4333333	Cinder cones
Karpinsky Group	Kuril Is	Historical	50.13333333	155.3666667	Cones
Chikurachki	Kuril Is	Historical	50.325	155.4583333	Stratovolcanoes
Vernadskii Ridge	Kuril Is	Holocene	50.55	155.9666667	Cinder cones
