CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,JURIS_DESC,BORO_NM,ADDR_PCT_CD,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,PARKS_NM,HADEVELOPT,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lat_Lon
835691491,09/29/2016,20:00:00,09/30/2016,05:30:00,09/30/2016,105,ROBBERY,386,"ROBBERY,PERSONAL ELECTRONIC DEVICE",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,110,,OTHER,,,1021758,208411,40.738645375,-73.864652107,"(40.738645375, -73.864652107)"
465822707,09/29/2016,20:00:00,09/30/2016,05:00:00,09/30/2016,110,GRAND LARCENY OF MOTOR VEHICLE,441,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,N.Y. HOUSING POLICE,BROOKLYN,75,FRONT OF,RESIDENCE - PUBLIC HOUSING,,PINK,1021910,182503,40.667533427,-73.86424849,"(40.667533427, -73.86424849)"
746294792,09/29/2016,20:00:00,,,09/30/2016,361,OFF. AGNST PUB ORD SENSBLTY &,639,AGGRAVATED HARASSMENT 2,COMPLETED,MISDEMEANOR,N.Y. HOUSING POLICE,BRONX,40,INSIDE,RESIDENCE - PUBLIC HOUSING,,MITCHEL,1004904,234287,40.809723613,-73.925390972,"(40.809723613, -73.925390972)"
428011570,09/29/2016,20:00:00,09/30/2016,00:05:00,09/30/2016,110,GRAND LARCENY OF MOTOR VEHICLE,441,"LARCENY,GRAND OF AUTO",COMPLETED,FELONY,N.Y. POLICE DEPT,MANHATTAN,18,FRONT OF,STREET,,,990625,216792,40.761726342,-73.976989006,"(40.761726342, -73.976989006)"
816301905,09/29/2016,20:00:00,,,09/30/2016,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,42,FRONT OF,STREET,,,1010651,240263,40.826110743,-73.904607024,"(40.826110743, -73.904607024)"
398471018,09/29/2016,20:00:00,09/30/2016,06:30:00,09/30/2016,341,PETIT LARCENY,321,"LARCENY,PETIT FROM AUTO",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BROOKLYN,79,FRONT OF,STREET,,,999508,190206,40.688743366,-73.944983476,"(40.688743366, -73.944983476)"
215186499,09/29/2016,20:00:00,09/30/2016,10:00:00,09/30/2016,110,GRAND LARCENY OF MOTOR VEHICLE,451,"LARCENY,GRAND OF MOTORCYCLE",COMPLETED,FELONY,N.Y. POLICE DEPT,QUEENS,105,REAR OF,RESIDENCE-HOUSE,,,1056865,179789,40.659866443,-73.738276046,"(40.659866443, -73.738276046)"
950120713,09/29/2016,20:00:00,09/30/2016,11:00:00,09/30/2016,109,GRAND LARCENY,457,"LARCENY,GRAND OF VEHICULAR/MOTORCYCLE ACCESSORIES",COMPLETED,FELONY,N.Y. POLICE DEPT,BROOKLYN,75,OPPOSITE OF,STREET,,,1012733,179320,40.65883108,-73.897342221,"(40.65883108, -73.897342221)"
315512822,09/29/2016,20:00:00,09/30/2016,10:20:00,09/30/2016,341,PETIT LARCENY,357,"LARCENY,PETIT OF VEHICLE ACCES",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,45,FRONT OF,STREET,,,1029090,244868,40.838675767,-73.837950937,"(40.838675767, -73.837950937)"
215502197,09/29/2016,20:00:00,09/30/2016,13:00:00,09/30/2016,341,PETIT LARCENY,357,"LARCENY,PETIT OF VEHICLE ACCES",COMPLETED,MISDEMEANOR,N.Y. POLICE DEPT,BRONX,42,,STREET,,,1012375,246184,40.842356852,-73.898352895,"(40.842356852, -73.898352895)"
